cluster_id,firing_rate,presence_ratio,isi_viol,num_viol,amplitude_cutoff,isolation_distance,contam_rate,l_ratio,d_prime,nn_hit_rate,nn_miss_rate,silhouette_score,max_drift,cumulative_drift,epoch_name_quality_metrics,epoch_name_waveform_metrics,peak_channel,snr,duration,halfwidth,PT_ratio,repolarization_slope,recovery_slope,amplitude,spread,velocity_above,velocity_below
64,0.04420431725622315,0.66,0.0,0.0,0.5,63.111535229641156,0.0,6.080814140965509e-05,5.020804902982093,0.3333333333333333,0.0,,,0.0,complete_session,complete_session,39,2.144394283828273,0.631825795644891,0.2747068676716918,0.4307725692896096,0.2695520349433016,-0.0340335432595606,165.17261467357673,210.0,2.8996836032011912,0.4578447794528194
65,2.4220464524350387,0.99,1.0,32.0,0.5,69.33961586678008,8.618546425527457,0.0013854582464242699,3.3214491346889017,0.9429429429429429,0.0011460545387130482,0.0925843451245712,3.89,40.56,complete_session,complete_session,38,1.7769187429560176,0.6867671691792293,0.233500837520938,0.3479883541062158,0.2921342153039558,-0.0577144928434289,124.231836519417,120.0,2.4331179708064123,0.3662758235622561
66,3.1787718438806802,0.99,0.0,0.0,0.0007843425453266602,164.3166263637331,0.22004756638843861,3.7375179774623117e-10,10.062958685919922,1.0,0.00010165700925078785,0.26469148726116337,0.95,8.14,complete_session,complete_session,39,5.13485639538769,0.7417085427135678,0.2060301507537689,0.2733620607219156,0.8690902806185709,-0.0932916620654254,344.2260137213484,60.0,2.2892238972640966,0.0
67,1.164192909916372,0.97,0.0,0.0,9.728666241018491e-05,133.4484111189728,0.0,1.9144404287930146e-06,10.364123802367084,0.9836065573770492,0.00010061374383740819,0.20723575966111513,1.84,21.2,complete_session,complete_session,38,5.101635017219941,0.7142378559463987,0.1922948073701842,0.3480778535591936,0.6001385608616404,-0.0950187081967224,335.0534191798196,60.0,0.4578447794528184,-18.313791178112783
68,10.777975413383675,0.99,0.13263413356028864,112.0,0.5,97.91093303777784,18.74520311851617,0.00035424175644060843,4.7236994423022365,0.9933065595716198,0.003578194064407493,0.09757365585716633,3.19,38.8,complete_session,complete_session,41,2.106773384724863,0.233500837520938,0.1510887772194304,0.2547381950488482,0.5978061234366832,-0.1404711987263901,133.6002930182714,150.0,1.0792055515673606,-0.5494137353433831
69,3.844900268276439,0.99,1.0,128.0,0.5,54.08144159909453,56.18918918918919,0.01796974571209476,2.6020098225833643,0.725177304964539,0.0016986003533088735,0.0250896117734665,4.75,49.6,complete_session,complete_session,41,1.4273171178138515,0.9889447236180904,0.2472361809045225,0.2717762692856286,0.3790911487396668,-0.0255333194105632,113.90756316170356,225.0,0.7521735662439182,0.4883677647496742
70,0.10328929576701645,0.88,0.0,0.0,0.5,52.614527489003144,0.0,0.0005541424268518105,4.332218023360137,0.0,0.00040020010005002504,0.05557892540266547,2.05,0.0,complete_session,complete_session,41,2.303335258267144,0.7554438860971525,0.2472361809045226,0.2799611950501658,0.468069680003138,-0.0466600550282891,176.14202984308793,120.0,1.1903964265773312,0.4578447794528191
71,0.053395313913457663,0.69,0.0,0.0,0.5,51.741606368729535,0.0,0.00032541477391507216,3.6199571906479595,0.0,0.0,,,0.0,complete_session,complete_session,42,2.329322924455328,0.7005025125628142,0.2472361809045226,0.2997461743733107,0.4256552635983313,-0.077833597182075,188.1959008388832,120.0,1.1903964265773312,0.3662758235622554
72,4.614317988439214,0.99,1.0,115.0,0.5,53.81953252867574,19.371416386495483,0.022070947796757365,3.4047577111140424,0.8040540540540541,0.0028854080791426216,0.0819839980006247,2.75,20.35,complete_session,complete_session,43,3.47194070687079,0.6867671691792295,0.1922948073701842,0.2594856635592023,0.577099931678086,-0.0729754307071867,234.3465190485695,75.0,1.2819653824678954,0.0
73,21.896893036100003,0.99,0.03427252045226553,133.0,0.017938906453223248,161.16727471058525,8.466927749205281,0.0008069022279378075,6.057470982101281,0.9946666666666667,0.006349206349206349,0.0819839980006247,1.84,9.85,complete_session,complete_session,45,3.862844270308967,0.5631490787269682,0.1785594639865997,0.3989191998971681,0.6431145222714885,-0.0345954734486023,231.59917584496048,60.0,0.45784477945282,0.4578447794528184
